"","zipest","zipvar","linest","linvar","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","zip_ci_in","lin_ci_in"
"1",6.78543497968556,0.147307505131103,7.69570958819693,NA,6.03318786939511,7.537682089976,NA,NA,TRUE,NA
"2",7.49959073593895,5.43879675042299,9.16725614489651,NA,2.92871404203493,12.070467429843,NA,NA,TRUE,NA
"3",7.07232164937713,1.26361713033957,8.20839216427771,6.87904149504527,4.86911190645134,9.27553139230292,3.06781295284029,13.3489713757151,TRUE,TRUE
"4",7.84745147094716,0.160376407319509,7.12155271297703,5.10854311356069,7.06254423787515,8.63235870401917,2.69162517356017,11.5514802523939,FALSE,TRUE
"5",7.4545365201749,2.23042831379313,9.78086430802342,6.49821542987259,4.52740507113703,10.3816679692128,4.78460300762542,14.7771256084214,TRUE,TRUE
"6",6.93012322700011,0.382014521048177,11.1251800678986,12.1370872540716,5.71872195099214,8.14152450300809,4.29699429935896,17.9533658364383,TRUE,TRUE
"7",5.80000771803011,0.279041150391644,8.10743819519799,13.3115687652452,4.76466956626103,6.83534586979919,0.956505161633237,15.2583712287627,FALSE,TRUE
"8",7.06079069019925,0.114424778990917,8.43797018481539,7.89493724916687,6.39779892813834,7.72378245226016,2.93087691026133,13.9450634593695,TRUE,TRUE
"9",7.29954487258651,0.122026869113992,14.763376744195,NA,6.61488350174715,7.98420624342587,NA,NA,TRUE,NA
"10",6.88276699084362,0.146419117746991,4.11001720986077,9.74419833079295,6.13279165032406,7.63274233136318,-2.00814727210746,10.228181691829,TRUE,TRUE
"11",5.26263105512734,0.416477996299184,2.35511819656703,5.07157242758787,3.99776621155372,6.52749589870096,-2.05875047351668,6.76898686665074,FALSE,FALSE
"12",6.39600703495089,0.488276644733072,-7.76471263436974,NA,5.02644702390764,7.76556704599414,NA,NA,TRUE,NA
"13",6.67322183373869,0.171683161583431,6.9818887815858,NA,5.86111728663325,7.48532638084412,NA,NA,TRUE,NA
"14",7.27064835861297,0.193475432253442,9.11000688685792,NA,6.40854169130457,8.13275502592137,NA,NA,TRUE,NA
"15",7.61978004726016,1.01807701391757,3.83688104043141,NA,5.64218025830902,9.5973798362113,NA,NA,TRUE,NA
"16",6.12663087301508,1.33490243162125,-4.70550153285185,25.8376157828238,3.86212811949114,8.39113362653902,-14.668138586094,5.25713552039034,TRUE,FALSE
"17",7.39708077286453,0.397210235974114,10.2744729990134,3.87239410971394,6.16182097644406,8.63234056928501,6.41757754930721,14.1313684487197,TRUE,TRUE
"18",7.06838467028482,1.68469383682814,3.8631458737372,16.7768796839166,4.52443459222659,9.61233474834305,-4.16478614176378,11.8910778892382,TRUE,TRUE
"19",6.93762135509601,0.258949603976794,1.1676834729728,17.5637673444442,5.94025269691995,7.93499001327206,-7.04635871038214,9.38172565632775,TRUE,TRUE
"20",6.64211266151039,0.236438274387705,8.91768269154698,9.80851966773496,5.68908176238049,7.59514356064029,2.77935845804707,15.0560069250469,TRUE,TRUE
"21",10.114173447365,1.02694156891211,9.38339030977845,5.2140024091196,8.12798268406084,12.1003642106692,4.90797127401958,13.8588093455373,FALSE,TRUE
"22",6.37993643446108,1.22736834313329,2.76487443583757,NA,4.20855785209224,8.55131501682992,NA,NA,TRUE,NA
"23",7.01481401727209,0.137649987711631,6.49267087094395,7.0708331608502,6.28764363870645,7.74198439583772,1.28092313957739,11.7044186023105,TRUE,TRUE
"24",7.45205812718745,0.597416374075431,6.2868004372031,NA,5.93714875702065,8.96696749735425,NA,NA,TRUE,NA
"25",6.96061437720204,0.328103367382921,3.3845253502694,10.4073274583143,5.83794097200684,8.08328778239723,-2.93839485044432,9.70744555098313,TRUE,TRUE
"26",6.2884487575688,0.215574666005251,4.72894137128758,NA,5.37843710805872,7.19846040707888,NA,NA,TRUE,NA
"27",5.20154260454374,1.24562649552322,5.93310971163158,4.86140926828129,3.01407308738059,7.38901212170689,1.61166278789836,10.2545566353648,TRUE,TRUE
"28",6.61197399932977,0.58366532837461,1.83249835493925,NA,5.11460085811948,8.10934714054006,NA,NA,TRUE,NA
"29",6.80327148689772,0.280752728096274,7.6926216831932,8.79527863808798,5.7647629198751,7.84178005392034,1.87998882838931,13.5052545379971,TRUE,TRUE
"30",6.25986351163611,0.530786336524038,0.64321729593901,8.36710856112359,4.83193009079878,7.68779693247343,-5.02616564983503,6.31260024171305,TRUE,FALSE
"31",8.12459976468732,0.19359252108962,8.11868757029063,5.66373815011474,7.2622322689176,8.98696726045704,3.45424581646198,12.7831293241193,FALSE,TRUE
"32",6.94183261278812,0.223292740841781,7.58986364738877,8.02462967510483,6.01567394986712,7.86799127570913,2.03772131777984,13.1420059769977,TRUE,TRUE
"33",5.28996777235652,0.730181477748541,7.59013958482571,14.5379014674322,3.61516567109064,6.9647698736224,0.117071284157676,15.0632078854937,FALSE,TRUE
"34",7.01174113442043,0.140430774084152,6.0316491897563,6.7914698869446,6.27726238333061,7.74621988551026,0.923895094003266,11.1394032855093,TRUE,TRUE
"35",7.70561880617718,0.516018187362323,8.201024311487,5.0964620299014,6.29769032167181,9.11354729068255,3.77633799276367,12.6257106302103,TRUE,TRUE
"36",8.83012743027743,2.57800156772538,9.21081534808327,5.22869561285818,5.68317861243785,11.977076248117,4.72909482101571,13.6925358751508,TRUE,TRUE
"37",6.62738522159336,0.498474489647532,3.91644969963569,3.70064548283675,5.24359722296514,8.01117322022159,0.146054861915757,7.68684453735562,TRUE,TRUE
