"","zipest","zipvar","linest","linvar","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","zip_ci_in","lin_ci_in"
"1",-0.239093749686362,0.00674285914763113,-0.472185363996919,0.0435808682055744,-0.400036024273761,-0.0781514750989634,-0.881348058510742,-0.0630226694830965,TRUE,TRUE
"2",-0.428501919321605,0.0052252006059746,-0.553824988645362,0.0440965226158371,-0.570178992123514,-0.286824846519696,-0.965401197584297,-0.142248779706428,TRUE,TRUE
"3",-0.519455529252312,0.00524212497588,-0.508067559130656,0.0199192520824391,-0.66136186183749,-0.377549196667134,-0.784688213843415,-0.231446904417897,TRUE,TRUE
"4",-0.247599831456586,0.0530266152643131,-0.25948953864542,0.0450002058157532,-0.698930706689657,0.203731043776484,-0.675261636752035,0.156282559461194,TRUE,TRUE
"5",-0.473184674760946,0.0167763690706114,-0.475394109839636,0.0197593110463551,-0.727046312165104,-0.219323037356788,-0.750901967640207,-0.199886252039065,TRUE,TRUE
"6",-0.351463282778783,0.0218373330885531,-0.400415989932865,0.029593881784797,-0.641096181140585,-0.0618303844169811,-0.737586092730826,-0.0632458871349039,TRUE,TRUE
"7",-0.543092496005499,0.013284161740891,-0.438494346264848,0.0365103257965832,-0.768991943315741,-0.317193048695256,-0.812997901758919,-0.0639907907707769,TRUE,TRUE
"8",-0.254175265712466,0.0145659862879036,-0.387736583977168,0.111289786643119,-0.490722589746742,-0.0176279416781893,-1.04158299755866,0.266109829604322,TRUE,TRUE
"9",-0.432952023883844,0.0076713117922621,-0.479857881153148,0.129219430149188,-0.604617478622647,-0.26128656914504,-1.18440817726526,0.224692414958966,TRUE,TRUE
"10",-0.597537109875842,0.013847887948474,-0.29650031784086,0.0848400919490897,-0.828179888448356,-0.366894331303329,-0.867385349669801,0.274384713988081,TRUE,TRUE
"11",-0.45807497343039,0.00591121265757864,-0.463674197974366,0.00725320969912725,-0.608765649998166,-0.307384296862613,-0.6305960550724,-0.296752340876332,TRUE,TRUE
"12",-0.42035034179047,0.00732725560647763,-0.351735742678716,0.0117565502222306,-0.588122063725318,-0.252578619855622,-0.564249985853429,-0.139221499504003,TRUE,TRUE
"13",-0.383859890147835,0.0115270053198683,-0.518518498850796,0.142566896248787,-0.594289251840057,-0.173430528455613,-1.25856232264361,0.221525324942017,TRUE,TRUE
"14",-0.462943072503804,0.00529243461296758,-0.432677937323153,0.0202016190236381,-0.605528729660936,-0.320357415346672,-0.711252321627699,-0.154103553018607,TRUE,TRUE
"15",-0.165295845993377,0.0202514350796761,-0.253129888192415,0.0408481188871893,-0.444213493191499,0.113621801204745,-0.649256593437032,0.142996817052201,TRUE,TRUE
"16",-0.34285980848328,0.00475106506347527,-0.203266560304986,0.0448612911408103,-0.477956147426194,-0.207763469540365,-0.618396422589781,0.211863301979809,TRUE,TRUE
"17",-0.32150234248162,0.00474426710064166,-0.12194324154373,0.0527288539239213,-0.456501996931136,-0.186502688032103,-0.572005149519888,0.328118666432427,TRUE,TRUE
"18",-0.307364388667321,0.029375052186282,-0.307958829956183,0.0289850600469631,-0.643285589738857,0.0285568124042144,-0.641642684204115,0.0257250242917496,TRUE,TRUE
"19",-0.563368486875159,0.0100684280042596,-0.24108281681494,0.144191921257285,-0.760034324191879,-0.366702649558438,-0.98533232322165,0.50316668959177,TRUE,TRUE
"20",-0.470400771633495,0.00735072340220866,-0.484121152985407,0.00897708004679652,-0.638440949126549,-0.302360594140441,-0.669822750527926,-0.298419555442888,TRUE,TRUE
"21",-0.451075657747212,0.00534811041817209,-0.37281731209108,0.0397400032181585,-0.594409345134139,-0.307741970360285,-0.76353407126172,0.0178994470795604,TRUE,TRUE
"22",-0.312327075454876,0.009069485588931,-0.236842287616824,0.0565804196300293,-0.498981985421791,-0.125672165487961,-0.703051845719563,0.229367270485915,TRUE,TRUE
"23",-0.462472796630759,0.00477094854061938,-0.427017302956557,0.0696947844971579,-0.597851533345355,-0.327094059916162,-0.944443282844485,0.0904086769313717,TRUE,TRUE
"24",-0.324375295634704,0.00721215514724898,-0.293339363768856,0.0174120153917565,-0.490824077566607,-0.157926513702802,-0.551965619421148,-0.0347131081165639,TRUE,TRUE
"25",-0.575429001352293,0.0114085062223644,-0.604173184700961,0.0419719952208816,-0.7847739484106,-0.366084054293986,-1.00571233754086,-0.202634031861058,TRUE,TRUE
"26",-0.38119384459971,0.00515410425020057,-0.281079769816712,0.0167882206067437,-0.521903756243169,-0.240483932956251,-0.535031060684734,-0.0271284789486911,TRUE,TRUE
"27",-0.398001644045916,0.0434374821876732,-0.460303922949977,0.0581224481290525,-0.806490688083306,0.0104873999914742,-0.93282375432818,0.012215908428226,TRUE,TRUE
"28",-0.509387619263087,0.0147943617963001,-0.533845348531832,0.095903716062842,-0.747782106655177,-0.270993131870997,-1.14081336746442,0.0731226704007552,TRUE,TRUE
"29",-0.475143148042957,0.0445931250661683,-0.588587784893801,0.0461569354663179,-0.889030395524379,-0.061255900561534,-1.0096696853399,-0.167505884447705,TRUE,TRUE
"30",-0.664175125612309,0.0319909107141622,-0.684863593111805,0.0493682916466626,-1.01473434478213,-0.313615906442485,-1.12034753013896,-0.24937965608465,TRUE,TRUE
"31",-0.0500485471724106,0.0160888081162274,-0.0922662142842352,0.0380229580900862,-0.298653643364216,0.198556549019395,-0.474448929414112,0.289916500845642,FALSE,TRUE
"32",-0.300894336965827,0.00675203263019477,0.23091563901624,0.139557294081109,-0.461946053209015,-0.13984262072264,-0.501275318548847,0.963106596581327,TRUE,TRUE
