"","X","zipest","zipvar","linest","linvar","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","zip_ci_in","lin_ci_in"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,-0.394022527157684,0.00660981222403428,-0.64771049929533,0.0588255082783328,-0.55336907237015,-0.234675981945219,-1.12307958501464,-0.172341413576016,TRUE,TRUE
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",208,-0.423741811395938,0.00753051307012408,-0.409191817040682,0.0482061601569505,-0.59382460258182,-0.253659020210055,-0.839519574856409,0.0211359407750448,TRUE,TRUE
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,-0.426996030396155,0.00158693992387881,-0.255868914278549,0.0154959848722472,-0.505073968179475,-0.348918092612836,-0.499850855767743,-0.0118869727893547,TRUE,TRUE
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",227,-0.5244688737324,0.00304043226757429,-0.277355852252399,0.0888767825969899,-0.632541512975625,-0.416396234489175,-0.861664418390292,0.306952713885494,FALSE,TRUE
"155",155,-0.413503189824258,0.00155105928530132,-0.822481035272185,0.127872160896565,-0.490693411827697,-0.336312967820818,-1.52334881195858,-0.121613258585793,TRUE,TRUE
"NA.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,-0.438517517256379,0.00868719372038971,-0.176192314718825,0.0693111652951201,-0.621196188546351,-0.255838845966407,-0.692192302408289,0.33980767297064,TRUE,TRUE
"NA.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,-0.408691356233676,0.00213230618027725,-0.511270893268839,0.0758751974490138,-0.499196418990666,-0.318186293476687,-1.05115184914006,0.0286100626023813,TRUE,TRUE
