"","bd_bin","bd_lm","bd_IK","zipest","zipvar","zipest_IK","zipvar_IK","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","zip_ci_left_IK","zip_ci_right_IK","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","zip_ci_in_IK","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.8,0.2,1.54453470116847,-0.255637843961443,0.0270870012786102,-0.402167006865754,0.0107853629507633,-0.556904306308546,0.128808887183231,-0.294916667337785,0.00901036608829603,-0.249936304330207,0.0070350047188678,-0.57821124644198,0.0669355585190937,-0.4591852036633,-0.0520904842595857,-1.26033449890325,0.146525886286155,-0.480962227047142,-0.108871107628428,-0.414328156107962,-0.0855444525524511,TRUE,TRUE,TRUE,TRUE,TRUE
"2",1.4,0.3,1.52341113902106,-0.507687200457343,0.0124844705945904,-0.478650973201145,0.0121728485824688,-0.644538418928845,0.0549625982942484,-0.472802556660714,0.0130503358784398,-0.366944024491883,0.00792396998190112,-0.726681674559512,-0.288692726355174,-0.723931267566937,-0.291443133347749,-1.10403440152903,-0.185042436328661,-0.696705053014045,-0.248900060307383,-0.541413518621629,-0.192474530362137,TRUE,TRUE,TRUE,TRUE,TRUE
"3",0.7,0.7,Inf,-0.68807143460258,0.0125069319584897,-0.517684519600001,0.00463804636928881,-0.727803971968187,0.0187145988519982,-0.682661152953834,0.00993113688248359,-0.571790374652362,0.00680706691315292,-0.907262821503985,-0.468880047701176,-0.821551261303445,-0.554591607901716,-0.995929615717084,-0.459678328219289,-0.877981539439058,-0.48734076646861,-0.73349710684551,-0.410083642459214,FALSE,FALSE,FALSE,FALSE,FALSE
"4",2,0.2,1.8783498607247,-0.477684915015623,0.00898068396179429,-0.476729525900622,0.00924136474999515,-0.631394552586758,0.0942906699201259,-0.490437712546808,0.0109110363137896,-0.467393552960033,0.00702367254362674,-0.663423784455762,-0.291946045575485,-0.666100206683048,-0.289269623348199,-1.23323649668323,-0.0295526084902817,-0.69516752642481,-0.285707898668807,-0.631652947961908,-0.303134157958158,TRUE,TRUE,TRUE,TRUE,TRUE
"5",0.6,0.6,1.1869237325577,-0.152245557469423,0.0449700750933736,-0.206240613688925,0.0185757179582788,-0.163713471552527,0.0400195355126598,-0.270525408400402,0.0142436981602926,-0.360068170389914,0.0087335733471851,-0.567878438308652,0.263387323369807,-0.419374469423101,0.114883354484256,-0.555801979029077,0.228375035924023,-0.504441162331514,-0.0366096544692892,-0.543233839582378,-0.176902501197449,TRUE,TRUE,TRUE,TRUE,TRUE
"6",1.5,0.2,2.24542562903795,-0.474716198839583,0.0119512502707806,-0.426198932526158,0.00843589956805176,-0.967856803392377,0.170430435760846,-0.440975343370167,0.00983711363607595,-0.497675241315227,0.00749724327341173,-0.688982938608062,-0.260449459071104,-0.654733311376648,-0.294699086302518,-1.77699307174787,-0.158720535036888,-0.635368931092279,-0.246581755648055,-0.667381903834814,-0.327968578795639,TRUE,TRUE,TRUE,TRUE,TRUE
"7",0.3,0.3,1.235092565558,-0.356526664128794,0.0449452039204055,-0.282449015832383,0.0158345264131949,-0.36398349129085,0.0583097384059072,-0.338584560615233,0.00908983458213116,-0.345224761658773,0.00732938349681641,-0.772044594004194,0.0589912657466065,-0.603159348827075,-0.109893979430512,-0.837264020080847,0.109297037499147,-0.525448749892307,-0.151720371338159,-0.513020842912464,-0.177428680405081,TRUE,TRUE,TRUE,TRUE,TRUE
"8",2.9,0.2,4.33024464475516,-0.377381965788159,0.00654021499663308,-0.371602995842915,0.00626497369238093,-0.371054076020279,0.128766121879365,-0.41341199908283,0.00845094863316995,-0.377556831710526,0.00742189962562439,-0.535887380799925,-0.218876550776393,-0.532516225228211,-0.222247706348107,-1.07436748745224,0.33225933541168,-0.593589609151683,-0.233234389013977,-0.546408606303395,-0.208705057117656,TRUE,TRUE,TRUE,TRUE,TRUE
"9",2.3,0.5,2.3961644875225,-0.211456616286685,0.0095592868382036,-0.221005399603399,0.00900408713034329,-0.0671845919349379,0.0500384954094244,-0.204885655478938,0.0129314590535862,-0.194460568582644,0.00780269325519951,-0.403085441738814,-0.019827790834556,-0.39743734090393,-0.0254758916694395,-0.505614540233176,0.3712453563633,-0.427766043682664,0.0179947327247876,-0.367589782842851,-0.021331354322437,TRUE,TRUE,TRUE,TRUE,FALSE
"10",1.3,0.3,1.52899908067028,-0.308177776970492,0.0104940624330692,-0.272326023330238,0.0107930680217459,-0.521638273184659,0.0486445341856814,-0.26634521397656,0.0109399617411206,-0.358183726827395,0.00762767658502048,-0.508957528684724,-0.10739802525626,-0.511797830880925,-0.104557723060059,-0.953918246033439,-0.0893583003358779,-0.471346220141125,-0.0613442078119952,-0.529360259970606,-0.187007193684183,TRUE,TRUE,TRUE,TRUE,TRUE
"11",1.1,0.3,1.47144915966553,-0.237980329309031,0.0173746375429521,-0.252510551609665,0.0131327263074569,-0.842008048943104,0.0863242900609363,-0.23827150633153,0.00881685256314502,-0.22341830264198,0.0065891170029787,-0.49632884323109,0.0203681846130285,-0.46258849326026,-0.013372165357802,-1.4178649803894,-0.266151117496809,-0.422308394072692,-0.0542346185903681,-0.382515196488712,-0.0643214087952486,TRUE,TRUE,TRUE,TRUE,FALSE
"12",0.5,0.2,1.64083347213966,-0.675281736291118,0.0252495313562368,-0.641239396994399,0.00742538073407568,-0.910700125943741,0.110934780206956,-0.693717807593077,0.012935566913402,-0.496285177484945,0.00826229560784063,-0.986721995324545,-0.36384147725769,-0.844173104684909,-0.506390367897327,-1.56350284495445,-0.257897406933033,-0.916633593530654,-0.470802021655501,-0.67444035799318,-0.31812999697671,TRUE,FALSE,TRUE,FALSE,TRUE
"13",0.9,0.9,1.92396003533279,-0.431423773433459,0.0217685610887317,-0.35232714014299,0.0114235531089445,-0.438309987341245,0.0236033308493693,-0.382937668759361,0.016116944669156,-0.325681254407002,0.00982714240759716,-0.720600243790449,-0.142247303076469,-0.640906729432324,-0.221940817434594,-0.739426615060591,-0.137193359621899,-0.631760053728978,-0.134115283789744,-0.519976295218345,-0.131386213595659,TRUE,TRUE,TRUE,TRUE,TRUE
"14",0.9,0.3,2.109089449328,-0.201122227215999,0.0292883423545701,-0.328962745010893,0.0102480594275526,-0.317088530976264,0.0846240263970186,-0.346122537434272,0.0102322809705146,-0.309948360052356,0.00735065534280339,-0.536547272615821,0.134302818183823,-0.39953467209527,-0.00270978233672883,-0.887246151854456,0.253069089901927,-0.544382180301911,-0.147862894566632,-0.477987759612383,-0.141908960492329,TRUE,TRUE,TRUE,TRUE,TRUE
"15",2.7,0.2,1.43007397161175,-0.418332739837457,0.00538090892556841,-0.349723896865996,0.0137950966014813,0.483789054304983,0.230942344772085,-0.282473988170274,0.0172637179470664,-0.364949053401061,0.0100656368915398,-0.562105268699811,-0.274560210975102,-0.648535466845822,-0.188130012829091,-0.458100274330026,1.42567838293999,-0.539996533951675,-0.0249514423888726,-0.561587629532271,-0.168310477269851,TRUE,TRUE,TRUE,TRUE,TRUE
"16",0.8,0.8,1.30183937474987,-0.19344182133838,0.0244829696915099,-0.296717486755194,0.0162593893837895,-0.193511180467104,0.025482975736872,-0.268511062966439,0.0104780553708699,-0.315913076071942,0.00728473219512464,-0.50011806736705,0.113234424690291,-0.443361357924575,0.0564777152478159,-0.506387836550522,0.119365475616314,-0.469137627080341,-0.0678844988525373,-0.483197261658494,-0.14862889048539,TRUE,TRUE,TRUE,TRUE,TRUE
"17",1.1,1.1,1.5655596075593,-0.438877334695542,0.0155544384844995,-0.403302482945696,0.0114383350706073,-0.440308608320312,0.0174036430757215,-0.414157205280877,0.0109682922262481,-0.280238266437894,0.00737651072705889,-0.683319014687365,-0.194435654703719,-0.648495781286102,-0.229258888104982,-0.698872678147198,-0.181744538493427,-0.619423478498061,-0.208890932063693,-0.448572939629144,-0.111903593246643,TRUE,TRUE,TRUE,TRUE,TRUE
"18",1.8,0.4,1.79609516049614,-0.489277637230636,0.00903178644930403,-0.489277637230636,0.00903178644930403,-0.648970140455563,0.0445077508815274,-0.499019635758259,0.0103506099627959,-0.443709365051646,0.0065387057675319,-0.675544208902272,-0.303011065559001,-0.675544208902272,-0.303011065559001,-1.06246100155542,-0.235479279355707,-0.698422348731645,-0.299616922784872,-0.602196490543305,-0.285222239559986,TRUE,TRUE,TRUE,TRUE,TRUE
"19",0.7,0.2,Inf,-0.578294516602314,0.0208436222016859,-0.423343519089795,0.00502665832036886,-0.492564224533783,0.0758860109764913,-0.47514377659448,0.00875800755695693,-0.449214224579649,0.00641336382634223,-0.86126079791845,-0.295328235286179,-0.717253866569837,-0.439335166634791,-1.03248365021963,0.0473552011520624,-0.658565491179689,-0.291722062009271,-0.606174961839076,-0.292253487320222,TRUE,FALSE,TRUE,TRUE,TRUE
