"","bd_zip","bd_lm","zipest","zipvar","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",1,0.2,1.8167245910053,0.164293230351675,3.19411279953334,1.19428280219083,2.0742413457039,0.10292641455534,2.41141651431591,0.0694881824682328,1.02229040309873,2.61115877891187,1.05220052194603,5.33602507712065,1.44544282226731,2.70303986914049,1.89475802800547,2.92807500062635,TRUE,TRUE,TRUE,TRUE
"2",0.9,0.2,1.2111843336254,0.159812024873304,1.31378238911329,1.20881587094544,1.42998066045549,0.188571120929989,2.09970108834875,0.124800445794065,0.427659405749754,1.99470926150105,-0.841122803705735,3.46868758193231,0.578870681766079,2.28109063914489,1.40730252298183,2.79209965371567,FALSE,TRUE,TRUE,TRUE
"3",0.8,0.5,1.47860335898576,0.230058534916803,1.60807121943548,0.753140268849126,1.80633113977505,0.127996249506421,1.98998943217137,0.0846933710189107,0.538518049967415,2.41868866800411,-0.0928571532452771,3.30899959211624,1.10512338048954,2.50753889906056,1.41959825310659,2.56038061123616,TRUE,TRUE,TRUE,TRUE
"4",1.8,0.4,1.74016461229531,0.0878052886644825,0.825638462126556,0.479676789064863,1.70388459200916,0.0757283618069605,1.70388459200916,0.0757283618069605,1.15938892354468,2.32094030104594,-0.531807165674223,2.18308408992734,1.16452628490704,2.24324289911128,1.16452628490704,2.24324289911128,TRUE,TRUE,TRUE,TRUE
"5",0.3,0.2,1.57700431623773,0.182319286472843,2.29304772295713,0.597173914295719,1.94188097311847,0.0907943324941315,2.06486139270231,0.0783289571460572,0.740121988067422,2.41388664440805,0.778445794871825,3.80764965104244,1.35130270613888,2.53245924009806,1.51632017880449,2.61340260660013,TRUE,TRUE,TRUE,TRUE
"6",1.1,0.3,2.55455550650454,0.184446190121979,3.18635987296154,0.793928107104024,2.22742032317157,0.152846970238522,1.97752767354143,0.0835814417347565,1.71280587390141,3.39630513910767,1.43998015192956,4.93273959399352,1.46115970038116,2.99368094596197,1.41089316471028,2.54416218237257,TRUE,TRUE,TRUE,TRUE
"7",0.8,0.2,2.80064789565093,0.293278607738351,3.18733887120288,2.2112893064695,2.63330991550234,0.1685858757668,2.54619498181175,0.102440085946268,1.73922540925949,3.86207038204236,0.272793141343109,6.10188460106266,1.82856417956532,3.43805565143936,1.91888375781607,3.17350620580743,TRUE,TRUE,TRUE,TRUE
"8",0.6,0.6,1.65213194053007,0.23429275340432,1.62839207457959,0.481186936236927,2.65092555460243,0.160292111461139,2.15739779344796,0.0973413745210265,0.703434958248716,2.60082892281141,0.268811330154995,2.98797281900418,1.86622462720392,3.43562648200094,1.54589727687231,2.76889831002361,TRUE,TRUE,TRUE,TRUE
"9",0.5,0.1,1.4936871170783,0.423937961887554,3.9235654217628,1.21055001336223,2.09655419560283,0.109491091559091,2.41550072907519,0.0703420795856616,0.217544404400739,2.76982982975585,1.76711509153915,6.08001575198646,1.44801312561798,2.74509526558769,1.8956774878765,2.93532397027388,TRUE,TRUE,TRUE,TRUE
"10",1.3,0.3,1.84364842984863,0.160432654175706,1.68445766171302,0.926154943445968,1.78339481798288,0.195083094372329,2.11215269981487,0.137455102281195,1.05860356838488,2.62869329131238,-0.201751784989544,3.57066710841558,0.91771377184355,2.64907586412221,1.38549726901736,2.83880813061237,TRUE,TRUE,TRUE,TRUE
"11",1.4,0.1,2.08318674346429,0.145733867763691,2.5694379730912,2.71152613252249,2.21265752438373,0.103471708052733,2.3285242731958,0.0661525404786311,1.33496842519435,2.83140506173424,-0.657978327809742,5.79685427399215,1.58219554647272,2.84311950229474,1.82441886741943,2.83262967897218,TRUE,TRUE,TRUE,TRUE
"12",0.8,0.3,2.43928156231787,0.197752460205493,2.38589206263795,0.597132207817127,2.61841043313705,0.0805537602234374,2.52195044265062,0.0626161616486755,1.56769798481634,3.31086513981939,0.871343025188305,3.9004411000876,2.06213356614508,3.17468730012902,2.03150431259828,3.01239657270295,TRUE,TRUE,TRUE,TRUE
"13",0.5,0.4,2.13899541118388,0.406538836749315,1.81075030568972,0.412721728391089,2.71208073446325,0.127061965758357,2.3720372641605,0.081981092785058,0.889314571775122,3.38867625059264,0.551602369972839,3.06989824140659,2.01343682721351,3.41072464171298,1.81085370060103,2.93322082771996,TRUE,TRUE,TRUE,TRUE
"14",1.1,0.2,2.28760055126009,0.158040516650539,2.23743894403274,0.673423141610976,1.98264643547077,0.0653817765496837,1.98264643547077,0.0653817765496837,1.50843039223559,3.06677071028459,0.629046184971374,3.8458317030941,1.48148637896244,2.4838064919791,1.48148637896244,2.4838064919791,TRUE,TRUE,TRUE,TRUE
"15",1,0.2,2.19205807584278,0.124532764828013,1.35231180154524,1.0031036606518,2.13704466927832,0.0898486726725288,2.4080704935784,0.0692131300115574,1.50040246217801,2.88371368950756,-0.610691358228433,3.31531496131891,1.54955000873616,2.72453932982048,1.8924355560589,2.92370543109791,TRUE,TRUE,TRUE,TRUE
"16",1.7,0.4,2.43145740132447,0.102676202067026,2.12111125003275,0.726560087741356,2.40172208324288,0.107524653278792,2.39789546409201,0.0687663086709894,1.8034236425935,3.05949116005544,0.450467464596029,3.79175503546947,1.75903123393826,3.0444129325475,1.88392762170229,2.91186330648173,TRUE,TRUE,TRUE,TRUE
"17",1,0.1,1.81001350542164,0.199517169157915,3.53249852019555,1.1640297085265,1.83509825023409,0.119155107320006,2.1311536893728,0.0814519535076585,0.93454963447002,2.68547737637326,1.41788929119621,5.64710774919488,1.15854120308641,2.51165529738178,1.57178411095012,2.69052326779548,TRUE,TRUE,TRUE,TRUE
"18",2.4,0.3,2.77391784705143,0.0927027763194792,2.91498693322191,1.228134175846,2.66427265071385,0.113380880787401,2.73251346887701,0.0784109586705815,2.17716505250808,3.37067064159478,0.742931026298806,5.08704284014501,2.00431205749723,3.32423324393047,2.18368519990375,3.28134173785027,FALSE,TRUE,TRUE,FALSE
"19",0.3,0.2,2.29356145656753,0.476137744043261,2.46583471871472,0.94712519033215,2.13121960444127,0.0849292872841575,2.20731400003191,0.0702779062083531,0.941132701800618,3.64599021133445,0.558390770205867,4.37327866722357,1.56003455581605,2.70240465306649,1.6877279314119,2.72690006865191,TRUE,TRUE,TRUE,TRUE
"20",0.5,0.4,1.83966897501587,0.365794773125492,2.05739981922058,0.388730910336437,2.16016713437602,0.130697292325038,1.94788094224476,0.0821585087596102,0.654263745658953,3.02507420437279,0.83539581579491,3.27940382264625,1.451599377247,2.86873489150505,1.3860904758165,2.50967140867301,TRUE,TRUE,TRUE,TRUE
"21",1.6,0.2,2.4763847969527,0.102496391595651,2.90730664261065,1.10065719273885,2.33762152693468,0.0769084518482037,2.36519296423269,0.063559897444474,1.84890119749816,3.10386839640725,0.851065099988024,4.96354818523328,1.79407700186041,2.88116605200895,1.87106471298562,2.85932121547976,TRUE,TRUE,TRUE,TRUE
"22",1.7,0.2,2.52079392409964,0.14057176884678,2.01814353373714,1.34865222682116,2.40055873151827,0.104843288751903,2.11931860054223,0.069859982671352,1.78594655125475,3.25564129694453,-0.257991785783852,4.29427885325812,1.7659319306608,3.03518553237573,1.60127975388457,2.6373574471999,TRUE,TRUE,TRUE,TRUE
"23",0.5,0.2,2.15001866227152,0.312928823255916,0.188674070948435,2.42747237814618,2.23681597389615,0.0833020164206068,2.07927010964726,0.0637691241707938,1.05361399776763,3.2464233267754,-2.86501798605748,3.24236612795435,1.67112943016319,2.80250251762911,1.58432923991247,2.57421097938205,TRUE,TRUE,TRUE,TRUE
"24",0.5,0.5,1.5501296416508,0.284549562486207,1.55270032879246,0.48652288263322,1.88621607662913,0.156234253240459,2.01974054133014,0.0956245158974721,0.504622383551985,2.59563689974961,0.185602081057169,2.91979857652776,1.11151132628541,2.66092082697285,1.4136566856889,2.62582439697138,TRUE,TRUE,TRUE,TRUE
"25",2.5,0.2,2.47068814029483,0.0729967203937068,1.93602792868521,0.900827855383025,2.25364360547337,0.141043777683042,2.51515719797589,0.0916993549447129,1.94114692807604,3.00022935251362,0.0757878605789215,3.7962679967915,1.51756353925466,2.98972367169208,1.92164283765735,3.10867155829443,TRUE,TRUE,TRUE,TRUE
"26",0.5,0.5,0.859804699430229,0.198905939003284,0.804034296274978,0.315582304792501,1.58942336285159,0.10961773159494,1.6679203440633,0.07839818295031,-0.0143171306784866,1.73392652953895,-0.297009040020253,1.90507763257021,0.940507342137149,2.23833938356603,1.11913678798599,2.21670390014061,FALSE,FALSE,TRUE,TRUE
"27",1.5,0.2,2.17284810947005,0.129809050296906,1.84415347241938,1.33447683578984,2.02926274113154,0.133848949261592,2.26929355817616,0.0855057637388701,1.46669223342781,2.87900398551229,-0.419988266045082,4.10829521088384,1.31220261340055,2.74632286886253,1.69617326510073,2.84241385125159,TRUE,TRUE,TRUE,TRUE
"28",1.6,0.2,2.54406427120704,0.110104341896743,2.59642411272584,0.929858584569633,2.52848343915845,0.102101599685915,2.49873742948523,0.0675515950327662,1.89370952541366,3.19441901700041,0.706447006596465,4.48640121885522,1.90220946499025,3.15475741332666,1.98932927231597,3.00814558665449,TRUE,TRUE,TRUE,TRUE
"29",2.9,0.2,2.05875837932326,0.048018770457546,0.736464438726723,0.796359807902332,1.78043702340249,0.134829566234216,2.19425289925478,0.0874810148126643,1.62926783305591,2.48824892559061,-1.01258770701185,2.48551658446529,1.06075499187691,2.50011905492807,1.61455063429855,2.77395516421101,TRUE,TRUE,TRUE,TRUE
"30",1.5,0.3,2.73089904572442,0.160436799059998,1.24932067584913,1.28323191012396,2.54708178448749,0.108042987645321,2.82359096971848,0.0804496562423967,1.94584404324818,3.51595404820065,-0.970923126110881,3.46956447780915,1.90284371676387,3.19131985221111,2.26767367227743,3.37950826715954,TRUE,TRUE,TRUE,FALSE
"31",0.9,0.2,1.53292679035267,0.148090583439522,0.875991189266276,0.903022812190168,1.54078669375457,0.145265192164817,1.34348327985126,0.0955357657382416,0.778682878865479,2.28717070183985,-0.98651383010305,2.7384962086356,0.793772467798084,2.28780091971105,0.737680746027786,1.94928581367472,TRUE,TRUE,TRUE,FALSE
"32",1.2,0.3,1.93841780049872,0.118615136663442,2.5028759446313,1.10708643630275,1.9310236200433,0.0862902836995615,2.00981749291149,0.0828932373740755,1.26339545790284,2.61344014309459,0.440637608258405,4.56511428100419,1.35528012554434,2.50676711454227,1.44552062256173,2.57411436326125,TRUE,TRUE,TRUE,TRUE
"33",0.7,0.2,2.97227743600096,0.285011246983677,3.95131982236874,1.05653196516456,2.46368895192098,0.150015701007679,2.19349644035869,0.0967936897093446,1.9259223486991,4.01863252330282,1.93671712284541,5.96592252189207,1.70455843753063,3.22281946631133,1.58371863400502,2.80327424671235,TRUE,TRUE,TRUE,TRUE
