"","bd_zip","bd_lm","zipest","zipvar","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.6,0.1,3.90938836260608,0.502294612167265,6.72947123452718,3.22805817040717,4.79494270196027,0.0964697425642858,4.57216359927052,0.0738640431715559,2.52030806669188,5.29846865852027,3.20804360749516,10.2508988615592,4.18618614675641,5.40369925716412,4.03948576025945,5.1048414382816,TRUE,TRUE,TRUE,FALSE
"2",1.7,0.1,5.31920524576386,0.148575497727316,5.86165498313217,2.65884476366154,5.24260220546368,0.129281081853326,5.21982580777058,0.080332296852259,4.5637274788616,6.07468301266611,2.66574467928695,9.05756528697738,4.53788385588398,5.94732055504338,4.66431414242976,5.7753374731114,TRUE,TRUE,TRUE,TRUE
"3",0.4,0.1,4.63174356894703,0.52789823096795,4.71269309553786,1.7090427515814,4.27800984502315,0.141884809384709,4.816969205894,0.0911131482041083,3.20770027052502,6.05578686736905,2.15042508594055,7.27496110513516,3.53973845011922,5.01628123992708,4.22535496768646,5.40858344410153,TRUE,TRUE,FALSE,TRUE
"4",0.6,0.1,7.0418286722772,0.385726656766724,5.71819294668858,2.32735545934319,6.03012882511068,0.122366251831731,5.74897217240524,0.0801887885210963,5.82455587293706,8.25910147161734,2.72813606459009,8.70824982878706,5.34451602078576,6.7157416294356,5.19395692127682,6.30398742353365,FALSE,TRUE,FALSE,FALSE
"5",0.7,0.1,4.95835728977339,0.388170229625963,6.49643458407821,2.93511959693443,5.26667397826216,0.0906768001834312,5.04545987516473,0.067305226688747,3.73723487472749,6.17947970481928,3.1385869006006,9.85428226755583,4.67647808375174,5.85686987277259,4.53698150124672,5.55393824908275,TRUE,TRUE,TRUE,TRUE
"6",0.3,0.1,3.86527322145424,0.80744295239279,3.52377020073994,2.87286331216538,5.19678991358725,0.112571456308836,5.09623484247431,0.0714534356567234,2.10409212580377,5.62645431710471,0.201724729773856,6.84581567170602,4.53918926441181,5.85439056276269,4.57232127071612,5.6201484142325,TRUE,TRUE,TRUE,TRUE
"7",0.4,0.1,5.06865229930455,0.659351461289892,5.43815169096385,2.21610616029892,5.41295653529216,0.0774524271228908,5.29863412969233,0.0712562382265292,3.47715253904393,6.66015205956517,2.52043330889287,8.35587007303483,4.86749314572747,5.95841992485685,4.77544400663496,5.8218242527497,TRUE,TRUE,TRUE,TRUE
"8",0.3,0.1,5.28116803128177,0.887871141822351,5.61618581207181,2.76875611175204,5.40063683679099,0.132880893991599,5.32690028783851,0.0812534955701808,3.43435444312696,7.12798161943658,2.35488812743144,8.87748349671218,4.6861744638659,6.11509920971608,4.7682125778696,5.88558799780741,TRUE,TRUE,TRUE,TRUE
"9",0.8,0.1,5.41093886525272,0.328822660051415,4.6358737953786,4.20259917791358,5.14372746789803,0.0866702509298406,5.32783447583808,0.0751731275773122,4.28703552959675,6.53484220090869,0.617900216341768,8.65384737441542,4.56671776267098,5.72073717312509,4.79045707213466,5.8652118795415,TRUE,TRUE,TRUE,TRUE
"10",0.3,0.1,6.3637250939087,0.847100420826623,6.37107060773427,1.70148492026875,5.36550719414377,0.153852794559732,5.33849878234378,0.0935578893057815,4.5598122956842,8.16763789213319,3.81447438321143,8.92766683225712,4.59672947935885,6.13428490892869,4.73900000910131,5.93799755558624,TRUE,TRUE,TRUE,TRUE
