"","bd_bin","bd_lm","bd_IK","zipest","zipvar","zipest_IK","zipvar_IK","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","zip_ci_left_IK","zip_ci_right_IK","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","zip_ci_in_IK","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.7,0.7,2.3622752637722,-0.550540589758616,0.0256696761042575,-0.498654681577889,0.00775272852682746,-0.605382454740603,0.039558067231192,-0.405800426504259,0.0135690211751604,-0.397062860043897,0.00825330367334163,-0.86456129559672,-0.236519883920512,-0.723114595286182,-0.37796658423105,-0.995203806509428,-0.215561102971778,-0.634109068656731,-0.177491784351787,-0.575121070177059,-0.219004649910734,TRUE,TRUE,TRUE,TRUE,TRUE
"2",2.2,0.5,2.03402772769162,-0.344546664044504,0.00901463832649143,-0.346479448503987,0.00948612403376317,-0.18631145300587,0.0460418122635438,-0.353070104454913,0.0120103838910104,-0.426295213598725,0.00743165815001754,-0.530636325000366,-0.158457003088641,-0.53544075731011,-0.153652570778897,-0.606867900870522,0.234244994858781,-0.567866275598731,-0.138273933311094,-0.595257957281373,-0.257332469916076,TRUE,TRUE,TRUE,TRUE,TRUE
"3",0.9,0.8,1.57837402250607,-0.40753782020868,0.0181371614120512,-0.376602432324151,0.00930814343052986,-0.385363079186714,0.0235753240630154,-0.382009121519766,0.00726532953633893,-0.367525088572323,0.00669177506030517,-0.671494556604395,-0.143581083812964,-0.596632636862905,-0.218443003554454,-0.686301007292482,-0.084425151080945,-0.549070380441812,-0.214947862597721,-0.527856552519703,-0.207193624624942,TRUE,TRUE,TRUE,TRUE,TRUE
"4",2.1,0.3,Inf,-0.430323570650314,0.00814725534075462,-0.37079351666175,0.00658105900706369,-0.381900622425722,0.062538824727174,-0.37687958984919,0.00789673401406587,-0.372331801713478,0.00727812460561764,-0.607234129671502,-0.253413011629126,-0.58932315295226,-0.271323988348368,-0.872043785067053,0.108242540215609,-0.551048985935324,-0.202710193763056,-0.539540102836241,-0.205123500590714,TRUE,TRUE,TRUE,TRUE,TRUE
"5",1.1,0.5,2.08650277686547,-0.28490112715145,0.0164819987190611,-0.334076155842628,0.00816535514154925,-0.265488447946108,0.0417355810051159,-0.351538479454865,0.0091181561060453,-0.378870318613509,0.00655292918037586,-0.536525687482923,-0.0332765668199783,-0.462008087863345,-0.107794166439556,-0.665895135938325,0.134918240046109,-0.538693552060535,-0.164383406849195,-0.537529726154754,-0.220210911072264,TRUE,TRUE,TRUE,TRUE,TRUE
"6",0.6,0.3,2.11821671695979,-0.257344583459558,0.0404107333482273,-0.280288805798982,0.0101993206096485,-0.66578421198752,0.0704138580553438,-0.345159809491034,0.00820499578065831,-0.383912897459303,0.00649774360385592,-0.651344796747909,0.136655629828792,-0.455284650452124,-0.0594045164669922,-1.18587260459574,-0.145695819379298,-0.522696153419166,-0.167623465562902,-0.541902816383395,-0.225922978535211,TRUE,TRUE,TRUE,TRUE,TRUE
"7",2.7,0.4,1.49474923958388,-0.367567036060371,0.00705354266736932,-0.345024446068968,0.0147219058068498,-0.61671034215177,0.0964123089090968,-0.380375645661806,0.00927835306235712,-0.376511020060403,0.00645478830547865,-0.532175339911387,-0.202958732209356,-0.605377033577615,-0.129757038543128,-1.22528565752558,-0.00813502677795619,-0.569167624339148,-0.191583666984464,-0.53397785298656,-0.219044187134246,TRUE,TRUE,TRUE,TRUE,TRUE
"8",1.6,0.5,1.74544522647333,-0.408197640096071,0.0112047073705388,-0.374513791514235,0.0107783423167358,-0.342954969331689,0.0370782985481389,-0.413967130099668,0.0108123658835653,-0.451323146675643,0.00681783692676696,-0.615664316846465,-0.200730963345676,-0.611678740361146,-0.204716539830996,-0.720360264755691,0.0344503260923126,-0.617769137685447,-0.210165122513888,-0.613157752988332,-0.289488540362954,TRUE,TRUE,TRUE,TRUE,TRUE
"9",0.6,0.3,2.00349444382831,-0.362252516662005,0.0282534752732422,-0.47710421184612,0.00655158346084793,-0.464572028214745,0.0462706634666214,-0.492028351674553,0.00993218426666484,-0.438226740700846,0.00686197708637277,-0.69169835713303,-0.0328066761909807,-0.520895632097841,-0.203609401226169,-0.886172370142052,-0.0429716862874376,-0.687359037589335,-0.296697665759771,-0.600584378050764,-0.275869103350927,TRUE,TRUE,TRUE,TRUE,TRUE
"10",1.6,0.4,1.6660842303256,-0.467048067611161,0.0105035193993922,-0.461484344831431,0.0102111988896734,-0.440538234797481,0.0442668329163073,-0.444509174646693,0.00973101114159945,-0.346815899308821,0.00707853756303511,-0.667918267603911,-0.266177867618412,-0.665103363032915,-0.268992772189408,-0.852908475928605,-0.0281679936663564,-0.637851561577676,-0.25116678771571,-0.511715597789855,-0.181916200827787,TRUE,TRUE,TRUE,TRUE,TRUE
"11",0.5,0.5,1.69994728522536,-0.415657387019063,0.0374664406850699,-0.477311441186015,0.0113026788752565,-0.428359003396593,0.0435761257915363,-0.402045298001448,0.00754418822972669,-0.396577936305198,0.00745708529460606,-0.795032912125355,-0.0362818619127703,-0.624029111259246,-0.207285662778879,-0.837499435025605,-0.019218571767582,-0.57228245146702,-0.231808144535877,-0.565829483068094,-0.227326389542302,TRUE,TRUE,TRUE,TRUE,TRUE
