"","bd_bin","bd_lm","bd_IK","zipest","zipvar","zipest_IK","zipvar_IK","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","zip_ci_left_IK","zip_ci_right_IK","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","zip_ci_in_IK","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",1.8,0.2,1.73419298807033,-0.477267624257705,0.00407607951703238,-0.47566243231696,0.00434389764990612,-0.620428174331336,0.025159866908482,-0.443900596343375,0.00387247334535691,-0.47966712178933,0.0032273377414045,-0.602399920706522,-0.352135327808888,-0.606445423989022,-0.348089824526388,-0.931314958648519,-0.309541390014154,-0.56586758733038,-0.32193360535637,-0.591012014056903,-0.368322229521758,TRUE,TRUE,TRUE,TRUE,TRUE
"2",1.4,0.2,1.39252665637969,-0.396954865846512,0.00635247256946796,-0.397352857502614,0.00644660980960098,-0.424057662310998,0.0486037497209749,-0.412182709335817,0.00417102464812274,-0.423667531020355,0.00362898292938865,-0.553168699373508,-0.240741032319516,-0.554321908510041,-0.239587823182983,-0.856156381453336,0.00804105683133916,-0.538763985304515,-0.285601433367119,-0.541737800285096,-0.305597261755614,TRUE,TRUE,TRUE,TRUE,TRUE
"3",0.7,0.7,2.49150100603501,-0.450340228410206,0.0112454404766317,-0.379696019510744,0.00362310416653763,-0.453363101404072,0.0129407775787083,-0.329376079328354,0.00572142430806949,-0.37463962695168,0.00380704330457405,-0.658183670720873,-0.242496786099539,-0.568314825077623,-0.332365631742789,-0.676323779947105,-0.230402422861039,-0.477627945674675,-0.181124212982034,-0.495571839712055,-0.253707414191306,TRUE,TRUE,TRUE,TRUE,TRUE
"4",0.3,0.3,1.34569148550968,-0.471856185821902,0.0198282647775913,-0.555657175955911,0.00511477525401302,-0.507210917210113,0.023362573526348,-0.541420070590912,0.00552703430342308,-0.457028157940371,0.00364803420560088,-0.74784434250428,-0.195868029139524,-0.612028217680602,-0.331684153963202,-0.806787892538499,-0.207633941881727,-0.687131685355019,-0.395708455826805,-0.575407941591548,-0.338648374289195,TRUE,TRUE,TRUE,FALSE,TRUE
"5",1.7,0.2,3.88950387668299,-0.531830719876905,0.0041090825840983,-0.485940846487706,0.00263415312596599,-0.256643348426519,0.0472380616696308,-0.549925242005046,0.00551005161902178,-0.51239908110371,0.00367845173043222,-0.657468578572623,-0.406192861181188,-0.632423914282894,-0.431237525470916,-0.682628170542632,0.169341473689593,-0.695412823586331,-0.404437660423761,-0.631271369070109,-0.393526793137312,FALSE,FALSE,TRUE,FALSE,FALSE
"6",1.2,0.2,Inf,-0.459522805600064,0.00615283030782876,-0.39994428755013,0.00268450208883068,-0.270095277270464,0.0574505968077495,-0.400586378561816,0.0037693821439404,-0.412411970206995,0.00327228535976194,-0.613262339416981,-0.305783271783147,-0.561072814109716,-0.357972797090412,-0.739876185632299,0.199685631091371,-0.520918943918858,-0.280253813204774,-0.52452954001247,-0.300294400401519,TRUE,TRUE,TRUE,TRUE,TRUE
"7",0.7,0.2,4.66174799266842,-0.320894897237406,0.0146535228673697,-0.385426765770328,0.00330250780629915,-0.237966458427416,0.0588452099271994,-0.394450527065404,0.00463084938505253,-0.389860018709091,0.00383423929629159,-0.558151940701031,-0.0836378537737816,-0.433529029466136,-0.208260765008676,-0.713415142020543,0.237482225165711,-0.527826751399113,-0.261074302731694,-0.51122340843347,-0.268496628984713,TRUE,TRUE,TRUE,TRUE,TRUE
"8",0.4,0.4,2.23084469856048,-0.565916023347577,0.0194982418160659,-0.381840389415303,0.00430856346712595,-0.57880588331999,0.0263881627049434,-0.380737060602953,0.00547054887966071,-0.410753265981702,0.00364653555999344,-0.839597760064431,-0.292234286630723,-0.694567370543444,-0.43726467615171,-0.89719093382459,-0.26042083281539,-0.525702188298586,-0.235771932907321,-0.529108731389564,-0.29239780057384,TRUE,FALSE,TRUE,TRUE,TRUE
"9",0.8,0.8,1.38691991084474,-0.386124334284002,0.0095085893364499,-0.383530390456313,0.00610292055987394,-0.392498322113076,0.0111100863522519,-0.444385732793108,0.00519739190284764,-0.373948457863688,0.00341209450524268,-0.577244334228705,-0.195004334339298,-0.53923905603447,-0.233009612533533,-0.599087138888166,-0.185909505337987,-0.585685297441405,-0.303086168144811,-0.488436101451136,-0.259460814276241,TRUE,TRUE,TRUE,TRUE,TRUE
"10",0.9,0.2,Inf,-0.365212717032339,0.011772073092156,-0.398923300145878,0.0031246645856103,-0.621106393207243,0.0590542127927509,-0.303808378364057,0.00565005408067177,-0.403893030931555,0.00360442986544383,-0.577867211500993,-0.152558222563685,-0.474772154481165,-0.255653279583513,-1.09739866338582,-0.144814123028669,-0.451132680791034,-0.15648407593708,-0.521563200899065,-0.286222860964046,TRUE,TRUE,TRUE,TRUE,TRUE
"11",1.1,1.1,1.97523429140553,-0.292277739824036,0.00952573091989798,-0.302337305253038,0.00533338211048464,-0.293450558143251,0.00926198878401224,-0.324189325711236,0.00471424069251811,-0.327079625530083,0.00354062780438403,-0.483569932727461,-0.100985546920612,-0.435413925858363,-0.149141553789709,-0.482075976662372,-0.104825139624129,-0.458761096492291,-0.189617554930181,-0.443703704990312,-0.210455546069853,TRUE,TRUE,TRUE,TRUE,TRUE
"12",1.1,0.1,1.79200203784635,-0.510653202346127,0.00580072032124182,-0.502038511855783,0.00353823768045343,-0.506399681935475,0.0517334811978077,-0.526540549845725,0.0052021002777019,-0.490311472339794,0.00352454410579364,-0.659928881022909,-0.361377523669344,-0.627237911237516,-0.394068493454737,-0.952193398437325,-0.0606059654336245,-0.667904102425282,-0.385176997266167,-0.606670361317501,-0.373952583362086,TRUE,FALSE,TRUE,TRUE,TRUE
