"","bd_bin","bd_lm","bd_IK","zipest","zipvar","zipest_IK","zipvar_IK","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","zip_ci_left_IK","zip_ci_right_IK","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","zip_ci_in_IK","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.9,0.5,1.55555350280984,-0.416428137106392,0.0331601601388669,-0.277568809623362,0.0260268266318376,-0.535755935095231,0.0544271283716838,-0.440412609210421,0.0140267828623116,-0.394149857515883,0.0114886580429521,-0.773336234046038,-0.0595200401667456,-0.732625832764582,-0.100230441448202,-0.993008132868469,-0.0785037373219933,-0.672540394605423,-0.208284823815418,-0.604228906392817,-0.18407080863895,TRUE,TRUE,TRUE,TRUE,TRUE
"2",1.6,1.2,2.5195487947739,-0.541956315104096,0.0171415135011311,-0.522772268991484,0.0112334413893984,-0.563126263760973,0.0290677434365588,-0.595949795052122,0.0186239621045787,-0.452124407160178,0.0120552297392271,-0.798565781490213,-0.285346848717979,-0.749688841474077,-0.334223788734115,-0.8972857158524,-0.228966811669547,-0.863425370578014,-0.328474219526231,-0.667321220838374,-0.236927593481982,TRUE,TRUE,TRUE,TRUE,TRUE
"3",0.5,0.5,1.36926128947756,-0.881813806124174,0.0117777537487149,-0.60341204359257,0.0154702692450612,-1.00281503731725,0.060127767081801,-0.757088308294677,0.0278050601347906,-0.558880103797073,0.0200433468827055,-1.09451960300325,-0.669108009245095,-1.12559321922125,-0.638034393027101,-1.4834170985124,-0.522212976122099,-1.08390935032643,-0.430267266262922,-0.836361079142773,-0.281399128451373,FALSE,FALSE,FALSE,FALSE,TRUE
"4",0.9,0.5,1.36269634568565,-0.379019546265575,0.0289486604619449,-0.235785755335569,0.0259461935881041,-0.250202665799215,0.0850311940198791,-0.229813473568969,0.0221289817577999,-0.399662773402558,0.0138728419699619,-0.712493813756813,-0.0455452787743372,-0.694727059990636,-0.0633120325405137,-0.821730294441801,0.321324962843372,-0.521374054180409,0.0617471070424708,-0.630513268644838,-0.168812278160279,TRUE,TRUE,TRUE,TRUE,TRUE
"5",1,1,1.03947113341529,-0.650703402536546,0.0209899005122174,-0.639958227023355,0.0218304071964198,-0.703955700978016,0.0420959138122759,-0.676188330079494,0.0314998549162302,-0.471500622195209,0.0209015206563786,-0.934660861442189,-0.366745943630904,-0.940290367512581,-0.361116437560511,-1.10608717130749,-0.301824230648539,-1.02404662812417,-0.328330032034819,-0.754859636329868,-0.18814160806055,TRUE,TRUE,TRUE,TRUE,TRUE
"6",1.5,1.5,1.98086421010382,-0.535930578711909,0.0141218171216193,-0.445652090091026,0.014170920527311,-0.567385195035607,0.0233515258781617,-0.417358128537425,0.019005432627898,-0.387920063743773,0.0127449322560035,-0.768843392756293,-0.303017764667525,-0.769247975527907,-0.30261318189591,-0.866891330300531,-0.267879059770682,-0.687559140396276,-0.147157116678575,-0.609187170277875,-0.166652957209671,TRUE,TRUE,TRUE,TRUE,TRUE
"7",0.9,0.9,2.2747728995705,-0.716032867415037,0.0148381948359876,-0.495823424482667,0.00960512590040907,-0.754138938496214,0.0248755221687337,-0.635255513541441,0.0180558444048365,-0.509801237738864,0.0123580099282582,-0.954780253653887,-0.477285481176187,-0.908120596367211,-0.523945138462863,-1.06326398447996,-0.445013892512466,-0.89861986715453,-0.371891159928353,-0.727683743335649,-0.291918732142078,FALSE,FALSE,FALSE,TRUE,TRUE
"8",1.6,0.8,2.82531089557304,-0.394731584393179,0.0227751652032663,-0.46943560630583,0.0100143395478097,-0.608671073016092,0.0454347661590618,-0.427178726392299,0.0202370654404939,-0.418230656836519,0.0134353038998071,-0.690518432077205,-0.0989447367091529,-0.59086845749296,-0.198594711293398,-1.02644587267244,-0.190896273359743,-0.705997401414883,-0.148360051369714,-0.645411568610858,-0.191049745062179,TRUE,TRUE,TRUE,TRUE,TRUE
"9",1.2,0.5,1.67155584866552,0.0810767708951379,0.0262132995559763,0.0487807516169017,0.0199626755467162,0.209586217000312,0.0678702180804173,0.0540600272137246,0.0215647677194587,-0.0821321143973313,0.0138639622989533,-0.23625162493291,0.398405166723186,-0.195845232679132,0.357998774469407,-0.301021898786593,0.720194332787216,-0.233759651008829,0.341879705436278,-0.312908716900888,0.148644488106226,FALSE,FALSE,FALSE,FALSE,FALSE
"10",1.9,0.4,1.93994667716766,-0.412247394048207,0.0142382883608342,-0.420101702533442,0.0137054264768402,-0.66255505312466,0.0888403708977346,-0.303513073538248,0.0234451864853198,-0.312611726626038,0.0146511606729943,-0.646118722806807,-0.178376065289607,-0.641700725753877,-0.182794062342537,-1.24674391506816,-0.0783661911811612,-0.603619252126511,-0.00340689494998497,-0.549849646024858,-0.0753738072272184,TRUE,TRUE,TRUE,TRUE,TRUE
