"","bd_zip","bd_lm","zipest","zipvar","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",1,0.1,2.40035805228355,0.028191590689351,2.43718632190218,0.424780180899474,2.40719738808183,0.0201215956857556,2.36429753187,0.0131646219868254,2.07127320802146,2.72944289654564,1.15977660972197,3.71459603408239,2.12917530040985,2.68521947575381,2.13941677846412,2.58917828527588,TRUE,TRUE,TRUE,TRUE
"2",0.2,0.1,2.62298700620865,0.203097734011221,2.28338447482125,0.37555429480561,2.05364995583063,0.0146883761699658,2.17290270632504,0.0119442506018287,1.73970246441003,3.50627154800727,1.08226984314342,3.48449910649908,1.81611092282807,2.29118898883318,1.9586987221628,2.38710669048727,TRUE,TRUE,TRUE,TRUE
"3",1.6,0.1,2.03317173365323,0.0157607390535372,2.71436291398955,0.255067382249164,2.12261969498198,0.0169379063374918,2.275196565442,0.0117393151347339,1.78711436217685,2.27922910512962,1.72449885998394,3.70422696799515,1.86753878682881,2.37770060313516,2.06283815220336,2.48755497868064,TRUE,TRUE,TRUE,TRUE
"4",0.1,0.1,1.72825519128927,0.186765558092298,1.70099866187228,0.291960422470213,2.16461915179535,0.0184371615894095,2.29193623377607,0.0123052534515616,0.881229689586091,2.57528069299244,0.641964224192471,2.76003309955208,1.89848836249017,2.43074994110053,2.07451929696484,2.5093531705873,TRUE,TRUE,TRUE,TRUE
"5",0.3,0.1,2.62137943779092,0.0824809049570541,2.924520027753,0.26917790089116,2.38910345690934,0.0173176139648753,2.43500109767964,0.0122441680509228,2.05848779645476,3.18427107912707,1.90764450847138,3.94139554703463,2.13117924145304,2.64702767236563,2.21812447984987,2.6518777155094,TRUE,TRUE,TRUE,FALSE
"6",0.7,0.1,2.34212207362805,0.0370787311308282,1.77407515174343,0.273334089799774,2.21692597532059,0.0123872964550387,2.23866604529744,0.0117286900534081,1.96471457666666,2.71952957058945,0.749379269904463,2.7987710335824,1.99878544898089,2.43506650166029,2.02640375505056,2.45092833554432,TRUE,TRUE,TRUE,TRUE
"7",0.8,0.1,2.35282699294116,0.0399207614654263,2.90192170465002,0.32502254866415,2.15298919568575,0.0201213829649247,2.26656083628995,0.0130159568647394,1.96122265019177,2.74443133569056,1.78453155949464,4.01931184980541,1.87496857761009,2.43100981376141,2.04295345200261,2.49016822057729,TRUE,TRUE,TRUE,TRUE
"8",1.6,0.1,2.28772377097242,0.0176305924044034,1.97946462424726,0.250531830785887,2.27856333769113,0.0168754090706904,2.39990974449432,0.0117269192781741,2.0274792807215,2.54796826122333,0.998440816566174,2.96048843192834,2.02395346155231,2.53317321382995,2.18766347832997,2.61215601065868,TRUE,TRUE,TRUE,FALSE
"9",2,0.1,2.28631217046682,0.015528883093626,2.57215647296874,0.495290271304488,2.25175740446082,0.01661456625136,2.29129289351186,0.0120428012161973,2.04207137752768,2.53055296340595,1.19279532319446,3.95151762274301,1.99912294109864,2.50439186782299,2.0762070386589,2.50637874836481,TRUE,TRUE,TRUE,TRUE
"10",1.3,0.1,2.13873081647238,0.0201642470997082,2.33039491644043,0.244688562279255,2.26609768268787,0.0121418532400988,2.2552967701061,0.011413843183807,1.86041422536824,2.41704740757652,1.36087903937054,3.29991079351033,2.05012909879487,2.48206626658088,2.04590286241904,2.46469067779315,TRUE,TRUE,TRUE,TRUE
"11",1.5,0.1,1.88935318928775,0.0163648891013525,1.65389896916743,0.24597934834186,1.9165624168276,0.0200858248929855,2.06363080496635,0.0136335483346818,1.63862415708751,2.140082221488,0.681829250784829,2.62596868755003,1.63878756338317,2.19433727027203,1.8347799484951,2.2924816614376,FALSE,TRUE,TRUE,TRUE
"12",0.2,0.2,2.09359783901636,0.160383206742868,2.09979978931139,0.166965165943173,2.13918561555683,0.0144075700965521,2.19934650056079,0.0123238108708507,1.30867396739976,2.87852171063296,1.29893162946168,2.9006679491611,1.9039281242156,2.37444310689806,1.98176568345047,2.41692731767112,TRUE,TRUE,TRUE,TRUE
"13",0.3,0.1,2.098697321614,0.0833759228531329,1.36747026912873,0.320536112856428,2.30947021286098,0.0165903785488788,2.26545719361684,0.0123004765085021,1.53275989196503,2.66463475126297,0.257818847247362,2.47712169101009,2.05701971075166,2.56192071497029,2.04808246191528,2.4828319253184,TRUE,TRUE,TRUE,TRUE
"14",0.9,0.1,2.09672900550299,0.0301758099435624,2.40901571234285,0.220185668013862,2.31109968795941,0.02215283011964,2.40497515059213,0.0144693487190032,1.75626001825263,2.43719799275336,1.48932327648058,3.32870814820512,2.0193820425102,2.60281733340862,2.16921381519908,2.64073648598518,TRUE,TRUE,TRUE,FALSE
"15",0.3,0.1,2.14141666362493,0.082860075074174,2.50049890385311,0.298036384525832,2.43754495696136,0.0211871434624625,2.50448536303459,0.0148552103709189,1.57723268097648,2.70560064627337,1.43050147477931,3.57049633292691,2.15225643784573,2.72283347607699,2.26560112556248,2.74336960050671,TRUE,TRUE,TRUE,FALSE
"16",0.2,0.1,1.87069772809615,0.0952373196278539,1.36318865003996,0.296310714965997,2.27027289491087,0.0158939538516371,2.2771085897135,0.0110076790913122,1.26584217381588,2.47555328237641,0.296293430408574,2.43008386967135,2.02317783381277,2.51736795600898,2.0714740937244,2.4827430857026,TRUE,TRUE,TRUE,TRUE
"17",2,0.1,2.02406579185026,0.0134386097628381,0.859525158809055,0.430298038381735,2.05677682109221,0.0165696029880463,2.16769186820912,0.0124355286545404,1.79685693196288,2.25127465173763,-0.426154503886476,2.14520482150459,1.80448443604298,2.30906920614144,1.94912706948806,2.38625666693018,TRUE,FALSE,TRUE,TRUE
