"","bd_zip","bd_lm","zipest","zipvar","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",1,0.2,5.79413171164044,1.23891493851253,2.69390255814566,5.51121248474282,5.24896286396062,0.403047543866352,5.18717772860598,0.396514877507354,3.61256330367368,7.97570011960721,-1.90730335033473,7.29510846662606,4.00465962819191,6.49326609972934,3.95299963216403,6.42135582504793,TRUE,TRUE,TRUE,TRUE
"2",1.6,0.2,3.58396525807957,0.600977980924449,0.642364757626575,2.76820811173642,3.77220960713707,0.415874360006055,3.90756829556761,0.408777982405605,2.06454689374894,5.1033836224102,-2.61861016842651,3.90333968367966,2.50826173299598,5.03615748127817,2.65445066891896,5.16068592221627,FALSE,FALSE,FALSE,FALSE
"3",1,0.1,3.83976377790398,1.52440400426739,7.06586154214657,29.8928391144424,4.37935152868047,0.567703957530451,4.68492794656391,0.467724182817373,1.41985981111224,6.25966774469572,-3.65011300484471,17.7818360891378,2.90259448190591,5.85610857545503,3.34450145184823,6.02535444127958,TRUE,TRUE,TRUE,TRUE
"4",1.3,0.2,4.24737687260224,1.30876385150054,-0.901587013440434,6.45794782069548,4.37244713176484,0.968491827213157,4.22120303661874,0.584882915540636,2.00515421605085,6.48959952915363,-5.88234404620092,4.07917001932005,2.44360772102632,6.30128654250337,2.72226887029359,5.72013720294389,TRUE,FALSE,TRUE,TRUE
"5",1,0.1,4.98892955285066,1.52575676854635,3.0037684245942,12.1380686627006,4.30586580174942,0.505172677273577,4.17047916847401,0.376994901001263,2.56795210628778,7.40990699941355,-3.82469340297151,9.83223025215992,2.91281158992339,5.69892001357545,2.96706303603768,5.37389530091034,TRUE,TRUE,TRUE,TRUE
"6",1.6,0.1,3.71992032362858,1.08151873457811,2.99401031340609,9.02654910930583,4.40007199659734,0.589281117003599,4.49610154914546,0.434922630306207,1.68163435677039,5.75820629048676,-2.89454780351622,8.88256843032839,2.89551254453772,5.90463144865697,3.20353148353614,5.78867161475477,TRUE,TRUE,TRUE,TRUE
"7",1.5,0.1,3.18768308444537,0.866337200631912,3.24758470183694,7.43826642371365,3.48397885231284,0.621407260444257,4.30871602301434,0.424312016886626,1.36340276578189,5.01196340310884,-2.0978614127589,8.59303081643277,1.93895121441216,5.02900649021353,3.03201044223401,5.58542160379467,FALSE,TRUE,FALSE,TRUE
"8",0.8,0.1,3.38803218771446,1.58904052824892,0.758306703092828,13.0313068717288,4.65078471140208,0.478140342510023,4.7051005083077,0.46330614605214,0.917357430956246,5.85870694447267,-6.3169479727174,7.83356137890305,3.29551483559695,6.0060545872072,3.37101974559736,6.03918127101804,TRUE,TRUE,TRUE,TRUE
"9",1.8,0.2,5.22989463535585,0.713024691097306,5.82191145554028,3.49781174176171,4.77284684860726,0.411822794762402,4.77284684860726,0.411822794762402,3.57488557526329,6.8849036954484,2.15630103317977,9.48752187790079,3.5150709116841,6.03062278553042,3.5150709116841,6.03062278553042,TRUE,TRUE,TRUE,TRUE
"10",1.5,0.1,4.21209487145839,1.07463669191197,1.47799232911249,25.919704572969,4.12431054766038,0.657323506435053,5.43348576151216,0.471751309653997,2.18030438049069,6.2438853624261,-8.50045834028592,11.4564429985109,2.53526014511031,5.71336095021044,4.08730106777792,6.7796704552464,TRUE,TRUE,TRUE,TRUE
"11",1.1,0.1,7.33275708458219,1.46911233584371,10.5325660817395,7.61324697075972,6.75224912378151,0.949839902000536,5.34788825758202,0.595664098155754,4.95714462857903,9.70836954058536,5.12461131769536,15.9405208457836,4.84207351149158,8.66242473607144,3.83520220157726,6.86057431358678,TRUE,TRUE,TRUE,TRUE
"12",1.6,0.1,4.108541953113,0.752614654250611,1.13193330400977,8.9857313695399,4.23428138742603,0.686397329988298,4.37998284592248,0.460513540077059,2.40820722072803,5.80887668549797,-4.74329580045135,7.00716240847088,2.61046887430007,5.85809390055199,3.04992878665342,5.71003690519154,TRUE,TRUE,TRUE,TRUE
"13",2.6,0.1,4.84883037066659,0.594966823873227,2.60508836466698,15.6493444269461,4.61903780935773,0.497230726221209,5.0413460117184,0.432372030889623,3.33702993622156,6.36063080511162,-5.14838261206159,10.3585593413956,3.23697726105943,6.00109835765603,3.75257165137352,6.33012037206329,TRUE,TRUE,TRUE,TRUE
