index,ART6m,test_0_6,test_6_12,tset_6_18,test_12_18,test_18_24,visit_test_6_18
67,-2963.014838,-3544.045443,-3192.408908,-2502.875822,-1960.12063,-801.5547907,-2553.393544
68,-2963.014838,-3544.045443,-3192.178735,-2503.452969,-1960.12063,-801.5547907,-2553.393544
69,-2963.014838,-3544.045443,-3192.178735,-2503.452969,-1960.12063,-801.5547907,-2553.393544
70,-2962.63094,-3544.045443,-3192.178735,-2503.452969,-1960.073811,-801.5547907,-2553.393544
71,-2962.63094,-3544.223458,-3192.178735,-2503.452969,-1960.073811,-801.0318976,-2553.331005
72,-2962.63094,-3544.223458,-3192.178735,-2503.452969,-1960.073811,-801.0318976,-2553.331005
73,-2962.63094,-3544.223458,-3192.279674,-2503.717927,-1960.073811,-801.0318976,-2553.331005
74,-2962.63094,-3544.223458,-3192.279674,-2503.717927,-1960.073811,-801.0318976,-2553.331005
75,-2962.967007,-3544.223458,-3192.279674,-2503.717927,-1960.050779,-801.0318976,-2553.331005
76,-2962.967007,-3544.262521,-3192.279674,-2503.717927,-1960.050779,-800.9155584,-2553.333925
77,-2962.967007,-3544.262521,-3192.279674,-2503.717927,-1960.050779,-800.9155584,-2553.333925
78,-2962.967007,-3544.262521,-3192.304822,-2503.881869,-1960.050779,-800.9155584,-2553.333925
79,-2962.967007,-3544.262521,-3192.304822,-2503.881869,-1960.050779,-800.9155584,-2553.333925
80,-2963.951205,-3544.262521,-3192.304822,-2503.881869,-1960.050946,-800.9155584,-2553.333925
81,-2963.951205,-3544.046604,-3192.304822,-2503.881869,-1960.050946,-800.8631901,-2553.301233
82,-2963.951205,-3544.046604,-3192.304822,-2503.881869,-1960.050946,-800.8631901,-2553.301233
83,-2963.951205,-3544.046604,-3192.490386,-2503.901528,-1960.050946,-800.8631901,-2553.301233
84,-2963.951205,-3544.046604,-3192.490386,-2503.901528,-1960.050946,-800.8631901,-2553.301233
85,-2963.903733,-3544.046604,-3192.490386,-2503.901528,-1959.811449,-800.8631901,-2553.301233
86,-2963.903733,-3544.110313,-3192.490386,-2503.901528,-1959.811449,-801.0664213,-2553.52927
87,-2963.903733,-3544.110313,-3192.490386,-2503.901528,-1959.811449,-801.0664213,-2553.52927
88,-2963.903733,-3544.110313,-3192.552762,-2503.241412,-1959.811449,-801.0664213,-2553.52927
89,-2963.903733,-3544.110313,-3192.552762,-2503.241412,-1959.811449,-801.0664213,-2553.52927
90,-2963.810244,-3544.110313,-3192.552762,-2503.241412,-1959.955036,-801.0664213,-2553.52927
91,-2963.810244,-3544.579573,-3192.552762,-2503.241412,-1959.955036,-800.9028258,-2553.799777
92,-2963.810244,-3544.579573,-3192.552762,-2503.241412,-1959.955036,-800.9028258,-2553.799777
93,-2963.810244,-3544.579573,-3192.262931,-2503.307875,-1959.955036,-800.9028258,-2553.799777
94,-2963.810244,-3544.579573,-3192.262931,-2503.307875,-1959.955036,-800.9028258,-2553.799777
95,-2963.479078,-3544.579573,-3192.262931,-2503.307875,-1960.087993,-800.9028258,-2553.799777
96,-2963.479078,-3544.750418,-3192.262931,-2503.307875,-1960.087993,-800.7935881,-2553.622218
97,-2963.479078,-3544.750418,-3192.262931,-2503.307875,-1960.087993,-800.7935881,-2553.622218
98,-2963.479078,-3544.750418,-3192.309858,-2503.704396,-1960.087993,-800.7935881,-2553.622218
99,-2963.479078,-3544.750418,-3192.309858,-2503.704396,-1960.087993,-800.7935881,-2553.622218
100,-2963.231665,-3544.750418,-3192.309858,-2503.704396,-1960.189098,-800.7935881,-2553.622218
101,-2963.231665,-3545.060791,-3192.309858,-2503.704396,-1960.189098,-800.7136041,-2553.502697
